Name,Brand,Category,Stock,PurchasedQuantity,PurchaseDate,PurchasedFrom,PurchaseWithoutGst,PurchaseWithGst,SellingWithoutGst,SellingWithGst,GstRate,Status
LED T5 LIGHT 22W COOL,,Lighting,48,50,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,85.0,0.0,102.0,18,active
LED T5 LIGHT 36W COOL,,Lighting,39,40,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,247.0,0.0,296.0,18,active
HYBRID 9W LED BULB,HYBRID,Lighting,96,100,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,28.0,0.0,70.0,18,active
HYBRID 20W LED BULB,HYBRID,Lighting,24,30,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,127.0,0.0,200.0,18,active
HYBRID 12W LED BULB,HYBRID,Lighting,47,50,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,61.5,0.0,100.0,18,active
HYBRID 16W LED BULB,HYBRID,Lighting,47,50,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,90.0,0.0,130.0,18,active
AIR-1 CEILING FAN 1200MM MATT BROWN,,Fans,1,4,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,1305.0,0.0,1520.0,18,active
W50005G 6M AIR PLATE,,Plates & Modular Accessories,43,50,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,61.0,0.0,74.0,18,active
W50006G 8M-H AIR PLATE,,Plates & Modular Accessories,33,60,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,78.0,0.0,94.0,18,active
W40059 16M OVAL SURFACE BOARD,,Boxes & Enclosures,10,10,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,131.0,0.0,157.0,18,active
W40055 6M OVAL SURFACE BOARD,,Boxes & Enclosures,19,20,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,63.0,0.0,75.0,18,active
W40058 12M OVAL SURFACE BOARD,,Boxes & Enclosures,15,20,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,100.0,0.0,120.0,18,active
W40060 18M OVAL SURFACE BOARD,,Boxes & Enclosures,10,10,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,133.0,0.0,160.0,18,active
W50009G 18M AIR PLATE,,Plates & Modular Accessories,7,10,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,123.0,0.0,147.0,18,active
W50008G 12M AIR PLATE,,Plates & Modular Accessories,22,30,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,95.0,0.0,115.0,18,active
W500010G 16M AIR PLATE,,Plates & Modular Accessories,10,10,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,110.0,0.0,132.0,18,active
Z8001 GLOW 1 WAY,GLOW,Switches & Sockets,96,100,2026-02-16,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,10.29,0.0,12.35,18,active
Z8022 2IN1 SOCKET,,Switches & Sockets,44,50,2026-02-16,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,22.88,0.0,27.0,18,active
Z8004 GLOW INDICATOR,GLOW,MCB & Protection,20,20,2026-02-16,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,20.28,0.0,24.0,18,active
Z8055A 16AMP WITHOUT SHUTTER,,Electrical Accessories,20,20,2026-02-16,BHAVANA ENTERPRISE -RAHUL SHAH,0.0,65.53,0.0,79.0,18,active
FYBROS AERIS BLDC REMOTE,FYBROS,Fans,2,2,2026-03-16,,0.0,3400.0,0.0,3950.0,18,active
FAN PIPE 2FT,,Electrical Accessories,10,10,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,48.0,48.0,100.0,100.0,18,active
FAN PIPE 1.5FT,,Electrical Accessories,10,10,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,36.0,36.0,80.0,80.0,18,active
J ULTIMATE PEDESTIAL,,Electrical Accessories,4,4,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,1650.0,1650.0,2000.0,2000.0,18,active
48 FUTURE TESLA 1200MM,FUTURE,Electrical Accessories,6,6,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,1150.0,1150.0,1400.0,1400.0,18,active
48 FUTURE 1200 MM,FUTURE,Electrical Accessories,5,6,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,875.0,875.0,1300.0,1300.0,18,active
24 FUTURE 600 MM,FUTURE,Electrical Accessories,5,6,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,850.0,850.0,1200.0,1200.0,18,active
ORIENTAL TABLE,,Electrical Accessories,4,4,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,975.0,975.0,1450.0,1450.0,18,active
ORASLE ANGLE HOLDER,ORASLE,Plates & Modular Accessories,97,100,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,11.5,11.5,22.0,22.0,18,active
7X7 ROUND HOLDER ORASLE,ORASLE,Holders,23,30,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,28.0,28.0,60.0,60.0,18,active
4X4 FANBOX FUTURE (1MM),FUTURE,Boxes & Enclosures,100,100,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,39.15,39.15,50.0,50.0,18,active
1500W RADIUS HEATER,,Electrical Accessories,1,1,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,422.5,422.5,500.0,500.0,18,active
1000W RADIUS HEATER,,Electrical Accessories,2,2,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,318.5,318.5,400.0,400.0,18,active
VINTEX SILVER,,Electrical Accessories,94,100,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,33.0,33.0,38.0,38.0,18,active
6A 3PIN TOP,,Electrical Accessories,19,20,2026-02-16,BHAVANA ENTERPRISE -RAHUL SHAH,20.0,20.0,30.0,30.0,18,active
16A 3PIN TOP,,Electrical Accessories,19,20,2026-02-16,BHAVANA ENTERPRISE -RAHUL SHAH,20.0,20.0,50.0,50.0,18,active
SS WITH BOX,,Boxes & Enclosures,3,5,2026-02-16,BHAVANA ENTERPRISE -RAHUL SHAH,85.0,85.0,130.0,130.0,18,active
SS COMBINED,,Electrical Accessories,4,5,2026-02-16,BHAVANA ENTERPRISE -RAHUL SHAH,60.0,60.0,100.0,100.0,18,active
SKYLAB 5IN1 WITH BOX,SKYLAB,Boxes & Enclosures,4,5,2026-02-16,BHAVANA ENTERPRISE -RAHUL SHAH,125.0,125.0,150.0,150.0,18,active
SKYLAB 5IN1,SKYLAB,Electrical Accessories,5,5,2026-02-16,BHAVANA ENTERPRISE -RAHUL SHAH,95.0,95.0,120.0,120.0,18,active
W10020 6A 2IN1 SOCKET,,Switches & Sockets,90,150,2026-02-16,BHAVANA ENTERPRISE -RAHUL SHAH,30.0,30.0,40.0,40.0,18,active
TESTER YELLOW,,Electrical Accessories,18,20,2026-02-16,BHAVANA ENTERPRISE -RAHUL SHAH,13.0,13.0,40.0,40.0,18,active
PVC TAP ROLL 6MTR,,Electrical Accessories,251,300,2026-02-16,BHAVANA ENTERPRISE -RAHUL SHAH,8.75,8.75,10.0,10.0,18,active
Z8043 4 STEP REGULATOR,,Regulators,10,10,2026-03-23,BHAVANA ENTERPRISE -RAHUL SHAH,155.5,155.5,185.0,185.0,18,active
Z8044 5 STEP REGULATOR SOCKET,,Switches & Sockets,10,10,2026-03-23,,179.4,179.4,220.0,220.0,18,active
ORASLE ANGLE HOLDER 5x5,ORASLE,Plates & Modular Accessories,50,50,2026-03-23,BHAVANA ENTERPRISE -RAHUL SHAH,11.5,11.5,50.0,50.0,18,active
R-802 RAPID C.C JUNCTION,RAPID,Plates & Modular Accessories,120,120,2026-03-23,BHAVANA ENTERPRISE -RAHUL SHAH,4.3,4.3,10.0,10.0,18,active
STREET LIGHT 24W EPNIX,EPNIX,Lighting,8,10,2026-02-26,,350.0,350.0,450.0,450.0,18,active
PUSH CONNECTOR,,Electrical Accessories,200,0,2025-03-10,,3.75,3.75,10.0,10.0,18,active
INDOLEX 2.5 SQ MM 90 MTR,INDOLEX,Wires & Cables,9,9,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,2440.32,0.0,2800.0,0.0,18,active
INDOLEX 4 SQ MM 90 MTR,INDOLEX,Wires & Cables,4,4,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,3709.0,0.0,4250.0,0.0,18,active
INDOLEX 1.5 SQ MM 90 MTR,INDOLEX,Wires & Cables,10,12,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,1507.0,0.0,1730.0,0.0,18,active
INDOLEX 1 SQ MM 90 MTR,INDOLEX,Wires & Cables,21,25,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,984.0,0.0,1130.0,0.0,18,active
FUTURE 18M METAL BOX,FUTURE,Boxes & Enclosures,20,20,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,103.5,0.0,125.0,0.0,18,active
FUTURE 4M METAL BOX,FUTURE,Boxes & Enclosures,38,40,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,36.0,0.0,43.5,0.0,18,active
FUTURE 3M METAL BOX,FUTURE,Boxes & Enclosures,16,20,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,29.7,0.0,36.0,0.0,18,active
INDOLEX 1.5 SQ MM 3 CORE,INDOLEX,Wires & Cables,1,1,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,4934.0,0.0,5650.0,0.0,18,active
INDOLEX 2.5 SQ MM 3 CORE,INDOLEX,Wires & Cables,1,1,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,7406.0,0.0,8480.0,0.0,18,active
INDOLEX 1 SQ MM 2 CORE,INDOLEX,Wires & Cables,1,1,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,2318.4,0.0,2650.0,0.0,18,active
INDOLEX 1 SQ MM 3 CORE,INDOLEX,Wires & Cables,1,1,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,3310.0,0.0,3800.0,0.0,18,active
RUBBER CLAMP,,Electrical Accessories,50,50,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,15.5,0.0,18.5,0.0,18,active
2 PIN TOP ORASLE,ORASLE,Electrical Accessories,52,60,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,9.0,0.0,11.0,0.0,18,active
MALE FEMALE ORASLE,ORASLE,Electrical Accessories,60,60,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,18.0,0.0,21.5,0.0,18,active
5X5 SQ PLATE ORASLE,ORASLE,Plates & Modular Accessories,60,60,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,16.0,0.0,19.5,0.0,18,active
5X5 ANGLE HOLDER,,Plates & Modular Accessories,50,80,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,22.0,0.0,30.0,0.0,18,active
7X7 ROUND FAN PLATE ORASLE,ORASLE,Plates & Modular Accessories,45,50,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,17.0,0.0,20.5,0.0,18,active
2*10 PAYAL EXTENSION CHAKEDI,PAYAL,Electrical Accessories,5,5,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,67.0,0.0,100.0,0.0,18,active
2*5 PAYAL EXTENSION CHAKEDI,PAYAL,Electrical Accessories,10,10,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,55.0,0.0,80.0,0.0,18,active
4 STEP REGULATOR FANCON,FANCON,Fans,19,20,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,75.0,0.0,90.0,0.0,18,active
5 STEP REGULATOR FANCON,FANCON,Fans,9,10,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,80.0,0.0,96.0,0.0,18,active
R-802 RAPID C.C JUNCTION,RAPID,Plates & Modular Accessories,120,120,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,4.3,4.3,10.0,10.0,18,active
FUTURE 6MM CABLE CLIPS,FUTURE,Wires & Cables,5,10,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,12.5,0.0,15.0,0.0,18,active
FUTURE 10MM CABLE CLIPS,FUTURE,Wires & Cables,5,10,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,24.5,0.0,30.0,0.0,18,active
FUTURE 8MM CABLE CLIPS,FUTURE,Wires & Cables,5,10,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,17.5,0.0,21.0,0.0,18,active
FUTURE 25MM CABLE CLIPS,FUTURE,Wires & Cables,5,5,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,85.0,0.0,102.0,0.0,18,active
FUTURE 20MM CABLE CLIPS,FUTURE,Wires & Cables,5,5,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,63.0,0.0,75.0,0.0,18,active
FUTURE 1/2M METAL BOX,FUTURE,Boxes & Enclosures,165,200,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,22.0,0.0,26.5,0.0,18,active
DOUBLE FASTNER,,Electrical Accessories,36,36,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,36.0,0.0,43.0,0.0,18,active
FUTURE 4X4 FANBOX 1MM,FUTURE,Boxes & Enclosures,50,50,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,43.5,0.0,55.0,0.0,18,active
LEXUR 3.15 MFD DRY,LEXUR,Capacitors,50,50,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,18.5,0.0,60.0,0.0,18,active
LEXUR 2.5 MFD DRY,LEXUR,Capacitors,50,50,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,16.5,0.0,50.0,0.0,18,active
LEXUR 2.5 MFD OIL,LEXUR,Capacitors,46,50,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,24.0,0.0,50.0,0.0,18,active
1500W JAGUAR,JAGUAR,Electrical Accessories,2,2,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,195.0,0.0,400.0,0.0,18,active
FUTURE 500X4.8 CABLE TIE,FUTURE,Wires & Cables,1,1,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,184.0,0.0,220.0,0.0,18,active
FUTURE 450X4.8 CABLE TIE,FUTURE,Wires & Cables,1,1,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,138.0,0.0,170.0,0.0,18,active
FUTURE 350X4.8 CABLE TIE,FUTURE,Wires & Cables,1,1,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,107.0,0.0,140.0,0.0,18,active
FUTURE 250X4.8 CABLE TIE,FUTURE,Wires & Cables,1,1,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,78.0,0.0,100.0,0.0,18,active
FUTURE 200X4.8 CABLE TIE,FUTURE,Wires & Cables,1,1,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,60.0,0.0,75.0,0.0,18,active
FUTURE 150X3.6 CABLE TIE,FUTURE,Wires & Cables,1,1,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,33.0,0.0,40.0,0.0,18,active
FUTURE 100X2.5 CABLE TIE,FUTURE,Wires & Cables,1,1,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,130.0,0.0,160.0,0.0,18,active
R-816 RAPID TEE,RAPID,Plates & Modular Accessories,100,100,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,2.52,0.0,5.0,0.0,18,active
R-817 RAPID COUPLER,RAPID,Plates & Modular Accessories,100,100,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,1.26,0.0,5.0,0.0,18,active
R-813 RAPID INTERNAL ANGLE,RAPID,Plates & Modular Accessories,300,300,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,1.92,0.0,5.0,0.0,18,active
R-622 RAPID 2M SURFACE BOX,RAPID,Boxes & Enclosures,20,20,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,25.2,0.0,30.0,0.0,18,active
R-623 RAPID 3M SURFACE BOX,RAPID,Boxes & Enclosures,17,20,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,32.55,0.0,40.0,0.0,18,active
R-624 RAPID 4M SURFACE BOX,RAPID,Boxes & Enclosures,20,20,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,37.45,0.0,45.0,0.0,18,active
R-631 RAPID 18M SURFACE BOX,RAPID,Boxes & Enclosures,9,10,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,92.4,0.0,110.0,0.0,18,active
R-625 6M RAPID SURFACE BOX,RAPID,Boxes & Enclosures,19,20,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,46.9,0.0,56.0,0.0,18,active
R-629 12M RAPID SURFACE BOX,RAPID,Boxes & Enclosures,19,20,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,65.8,0.0,80.0,0.0,18,active
R-626 8M-H RAPID SURFACE BOX,RAPID,Boxes & Enclosures,19,20,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,56.7,0.0,70.0,0.0,18,active
R-505 1/2 MCB BOX RAPID,RAPID,MCB & Protection,20,20,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,23.1,0.0,100.0,0.0,18,active
R-506 3/4 MCB BOX RAPID,RAPID,MCB & Protection,29,30,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,35.0,0.0,50.0,0.0,18,active
14X40 FEVILEX,,Electrical Accessories,2,2,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,579.84,0.0,700.0,0.0,18,active
10X12 PVC MCB BOX PANCHAM,PANCHAM,MCB & Protection,10,10,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,345.0,0.0,420.0,0.0,18,active
6X8 WAY DB PANCHAM,PANCHAM,DB Boards,9,10,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,275.0,0.0,350.0,0.0,18,active
FAN PIPE 2FT,,Electrical Accessories,10,10,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,48.0,48.0,100.0,100.0,18,active
FAN PIPE 1.5FT,,Electrical Accessories,10,10,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,36.0,36.0,80.0,80.0,18,active
J ULTIMATE PEDESTIAL,,Electrical Accessories,4,4,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,1650.0,1650.0,2000.0,2000.0,18,active
48 FUTURE TESLA 1200MM,FUTURE,Electrical Accessories,6,6,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,1150.0,1150.0,1400.0,1400.0,18,active
48 FUTURE 1200 MM,FUTURE,Electrical Accessories,5,6,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,875.0,875.0,1300.0,1300.0,18,active
24 FUTURE 600 MM,FUTURE,Electrical Accessories,5,6,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,850.0,850.0,1200.0,1200.0,18,active
ORIENTAL TABLE,,Electrical Accessories,4,4,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,975.0,975.0,1450.0,1450.0,18,active
ORASLE ANGLE HOLDER,ORASLE,Plates & Modular Accessories,97,100,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,11.5,11.5,22.0,22.0,18,active
7X7 ROUND HOLDER ORASLE,ORASLE,Holders,23,30,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,28.0,28.0,60.0,60.0,18,active
4X4 FANBOX FUTURE (1MM),FUTURE,Boxes & Enclosures,100,100,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,39.15,39.15,50.0,50.0,18,active
1500W RADIUS HEATER,,Electrical Accessories,1,1,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,422.5,422.5,500.0,500.0,18,active
1000W RADIUS HEATER,,Electrical Accessories,2,2,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,318.5,318.5,400.0,400.0,18,active
VINTEX SILVER,,Electrical Accessories,94,100,2026-02-14,BHAVANA ENTERPRISE -RAHUL SHAH,33.0,33.0,38.0,38.0,18,active
6A 3PIN TOP,,Electrical Accessories,19,20,2026-02-16,BHAVANA ENTERPRISE -RAHUL SHAH,20.0,20.0,30.0,30.0,18,active
16A 3PIN TOP,,Electrical Accessories,19,20,2026-02-16,BHAVANA ENTERPRISE -RAHUL SHAH,20.0,20.0,50.0,50.0,18,active
SS WITH BOX,,Boxes & Enclosures,3,5,2026-02-16,BHAVANA ENTERPRISE -RAHUL SHAH,85.0,85.0,130.0,130.0,18,active
SS COMBINED,,Electrical Accessories,4,5,2026-02-16,BHAVANA ENTERPRISE -RAHUL SHAH,60.0,60.0,100.0,100.0,18,active
SKYLAB 5IN1 WITH BOX,SKYLAB,Boxes & Enclosures,4,5,2026-02-16,BHAVANA ENTERPRISE -RAHUL SHAH,125.0,125.0,150.0,150.0,18,active
SKYLAB 5IN1,SKYLAB,Electrical Accessories,5,5,2026-02-16,BHAVANA ENTERPRISE -RAHUL SHAH,95.0,95.0,120.0,120.0,18,active
W10020 6A 2IN1 SOCKET,,Switches & Sockets,90,150,2026-02-16,BHAVANA ENTERPRISE -RAHUL SHAH,30.0,30.0,40.0,40.0,18,active
TESTER YELLOW,,Electrical Accessories,18,20,2026-02-16,BHAVANA ENTERPRISE -RAHUL SHAH,13.0,13.0,40.0,40.0,18,active
PVC TAP ROLL 6MTR,,Electrical Accessories,251,300,2026-02-16,BHAVANA ENTERPRISE -RAHUL SHAH,8.75,8.75,10.0,10.0,18,active
